#Points:1	velocidad:0	velocidad:1
0.25	-0.3052409	0.01014758
0.251	-0.3057343	0.010378
0.252	-0.3062278	0.01060843
0.253	-0.3067212	0.01083886
0.254	-0.3071818	0.01107217
0.255	-0.3076259	0.01130692
0.256	-0.30807	0.01154167
0.257	-0.3084974	0.01177774
0.258	-0.3088914	0.01201645
0.259	-0.3092855	0.01225518
0.26	-0.3096795	0.01249389
0.261	-0.3100228	0.01273622
0.262	-0.3103661	0.01297853
0.263	-0.3107094	0.01322086
0.264	-0.3110185	0.01346533
0.265	-0.3113105	0.01371088
0.266	-0.3116026	0.01395643
0.267	-0.3118774	0.01420293
0.268	-0.3121177	0.01445134
0.269	-0.3123581	0.01469974
0.27	-0.3125984	0.01494815
0.271	-0.3127868	0.01519901
0.272	-0.3129752	0.01544989
0.273	-0.3131635	0.01570075
0.274	-0.3133171	0.015953
0.275	-0.3134533	0.01620595
0.276	-0.3135895	0.0164589
0.277	-0.3137083	0.01671241
0.278	-0.3137922	0.01696705
0.279	-0.3138762	0.01722169
0.28	-0.3139601	0.01747632
0.281	-0.3139918	0.01773225
0.282	-0.3140236	0.01798819
0.283	-0.3140553	0.01824412
0.284	-0.3140523	0.01850067
0.285	-0.314032	0.01875751
0.286	-0.3140116	0.01901436
0.287	-0.313974	0.01927137
0.288	-0.3139019	0.01952874
0.289	-0.3138298	0.01978611
0.29	-0.3137577	0.02004347
0.291	-0.3136341	0.02030099
0.292	-0.3135106	0.02055849
0.293	-0.313387	0.020816
0.294	-0.3132295	0.02107335
0.295	-0.313055	0.02133063
0.296	-0.3128806	0.02158791
0.297	-0.3126893	0.02184498
0.298	-0.3124645	0.02210166
0.299	-0.3122396	0.02235833
0.3	-0.3120148	0.02261501
0.301	-0.3117403	0.02287072
0.302	-0.3114658	0.02312643
0.303	-0.3111914	0.02338214
0.304	-0.3108843	0.02363698
0.305	-0.3105609	0.02389139
0.306	-0.3102376	0.02414579
0.307	-0.3098982	0.02439965
0.308	-0.3095269	0.02465241
0.309	-0.3091556	0.02490516
0.31	-0.3087842	0.02515792
0.311	-0.3083659	0.02540871
0.312	-0.3079475	0.0256595
0.313	-0.3075292	0.02591029
